,"Heavy","2-theta","Intensity"
,"","24.660","0.07690"
,"","24.680","0.07174"
,"","24.700","0.07550"
,"","24.720","0.07188"
,"","24.740","0.06180"
,"","24.760","0.07416"
,"","24.780","0.08101"
,"","24.800","0.07229"
,"","24.820","0.07710"
,"","24.840","0.08648"
,"","24.860","0.09412"
,"","24.880","0.09263"
,"","24.900","0.09339"
,"","24.920","0.08398"
,"","24.940","0.07407"
,"","24.960","0.08013"
,"","24.980","0.06853"
,"","25.000","0.06480"
,"","25.020","0.07008"
,"","25.040","0.06340"
,"","25.060","0.07057"
,"","25.080","0.07276"
,"","25.100","0.07366"
,"","25.120","0.07203"
,"","25.140","0.06973"
,"","25.160","0.07614"
,"","25.180","0.07591"
,"","25.200","0.08610"
,"","25.220","0.07914"
,"","25.240","0.07710"
,"","25.260","0.08264"
,"","25.280","0.07876"
,"","25.300","0.07355"
,"","25.320","0.07267"
,"","25.340","0.07349"
,"","25.360","0.07273"
,"","25.380","0.07856"
,"","25.400","0.08511"
,"","25.420","0.08074"
,"","25.440","0.08989"
,"","25.460","0.08363"
,"","25.480","0.08634"
,"","25.500","0.08884"
,"","25.520","0.08605"
,"","25.540","0.07541"
,"","25.560","0.05799"
,"","25.580","0.05781"
,"","25.600","0.04650"
,"","25.620","0.05714"
,"","25.640","0.06591"
,"","25.660","0.08325"
,"","25.680","0.10490"
,"","25.700","0.10743"
,"","25.720","0.10808"
,"","25.740","0.11554"
,"","25.760","0.10895"
,"","25.780","0.09814"
,"","25.800","0.09021"
,"","25.820","0.09030"
,"","25.840","0.08173"
,"","25.860","0.08066"
,"","25.880","0.08153"
,"","25.900","0.06725"
,"","25.920","0.06119"
,"","25.940","0.07084"
,"","25.960","0.07031"
,"","25.980","0.06440"
,"","26.000","0.06169"
,"","26.020","0.05851"
,"","26.040","0.05195"
,"","26.060","0.05157"
,"","26.080","0.05691"
,"","26.100","0.04712"
,"","26.120","0.04531"
,"","26.140","0.05732"
,"","26.160","0.06626"
,"","26.180","0.07066"
,"","26.200","0.07410"
,"","26.220","0.07765"
,"","26.240","0.08150"
,"","26.260","0.08946"
,"","26.280","0.08759"
,"","26.300","0.07151"
,"","26.320","0.07302"
,"","26.340","0.07576"
